Date,RY.TO,TD.TO,BNS.TO,SU.TO,CNQ.TO,ENB.TO,SHOP.TO,NVDA,AAPL,MCD,SBUX,WMT,SPY,XIU.TO
2025-05-05,162.08993530273438,85.06271362304688,66.10494232177734,46.3540153503418,36.84574890136719,60.79042053222656,135.85000610351562,113.7931900024414,198.02691650390625,308.581298828125,79.46733856201172,98.45635223388672,557.1234130859375,37.11766815185547
2025-05-06,160.5854949951172,84.35852813720703,65.61930084228516,46.50788879394531,37.42697525024414,60.062904357910156,129.24000549316406,113.51325988769531,197.64854431152344,309.6271667480469,80.55725860595703,97.68321990966797,552.466796875,37.04945373535156
2025-05-07,161.507568359375,84.25241088867188,66.09542083740234,45.19036102294922,37.941497802734375,61.16835021972656,131.2899932861328,117.03242492675781,195.39837646484375,310.9367980957031,80.4891357421875,97.96075439453125,554.7901611328125,37.31256103515625
2025-05-08,161.9346466064453,84.6575698852539,66.40965270996094,45.863548278808594,39.84714889526367,60.2707633972168,130.8800048828125,117.34235382080078,196.6330108642578,306.4017028808594,79.98310089111328,96.57306671142578,558.6558227539062,37.47822189331055
2025-05-09,162.66258239746094,84.95661163330078,66.67628479003906,46.85410690307617,40.523658752441406,60.752628326416016,127.9800033569336,116.62252044677734,197.66847229003906,306.5874328613281,78.14385223388672,96.1010971069336,557.9440307617188,37.565921783447266
2025-05-12,164.0408172607422,85.39069366455078,67.36189270019531,48.24856948852539,41.886192321777344,58.853519439697266,146.0,122.97102355957031,210.15048217773438,304.86724853515625,83.3696517944336,96.13090515136719,576.3826293945312,37.9069938659668
2025-05-13,164.78819274902344,85.97913360595703,67.23811340332031,48.815975189208984,42.81044006347656,58.692893981933594,150.11000061035156,129.89938354492188,212.2840118408203,301.71026611328125,84.54715728759766,95.26647186279297,580.18896484375,38.00444030761719
2025-05-14,166.2052764892578,86.62545776367188,67.96182250976562,48.85444259643555,41.82903289794922,59.28813934326172,155.8300018310547,135.30810546875,211.68582153320312,300.5471496582031,84.21629333496094,96.21039581298828,580.930419921875,38.14086151123047
2025-05-15,169.06854248046875,87.51293182373047,68.35224914550781,48.31589126586914,41.114410400390625,60.15433883666992,153.92999267578125,134.79823303222656,210.8084716796875,307.3693542480469,84.91696166992188,95.73346710205078,583.7679443359375,38.491676330566406
2025-05-16,170.67001342773438,86.65438842773438,68.53317260742188,47.950439453125,40.87620162963867,60.173526763916016,154.91000366210938,135.36810302734375,210.6190643310547,311.40594482421875,83.85855865478516,97.61137390136719,587.465576171875,38.58911895751953
2025-05-19,,,,,,,,135.53805541992188,208.14659118652344,313.96673583984375,82.91776275634766,97.49214172363281,588.108154296875,
2025-05-20,170.65060424804688,86.98236846923828,68.44745635986328,47.15222930908203,40.7142219543457,60.912147521972656,148.02999877929688,134.34835815429688,206.232421875,312.56903076171875,83.87815856933594,97.1741943359375,586.1307983398438,38.676822662353516
2025-05-21,169.23353576660156,86.721923828125,68.07608032226562,46.87334060668945,40.599884033203125,60.62437057495117,141.82000732421875,131.76895141601562,201.4768829345703,309.2850341796875,81.32037353515625,95.81295776367188,576.2540893554688,38.28703308105469
2025-05-22,170.25265502929688,89.52904510498047,68.13322448730469,47.17146682739258,40.75233840942383,60.106380462646484,143.19000244140625,132.7987060546875,200.7490997314453,307.20318603515625,82.29056549072266,95.31615447998047,576.4815063476562,38.35768508911133
